R,G,B,H,L,S,Count_df1,Count_df2
0,0,0,0,0,0,507,510.0
118,106,139,262,48,13,8,9.0
142,117,128,334,51,10,8,9.0
150,146,207,244,69,39,10,12.0
162,79,117,333,47,34,15,16.0
169,143,179,283,63,19,11,12.0
218,207,189,37,80,28,11,12.0
