R,G,B,H,L,S,Count_df1,Count_df2
138,94,74,19,42,30,24,25.0
138,124,94,41,45,19,15,16.0
139,92,117,328,45,20,8,9.0
139,97,105,349,46,18,6,9.0
140,132,85,51,44,24,8,9.0
140,154,79,71,46,32,2,3.0
141,90,84,6,44,25,2,3.0
141,106,178,269,56,32,14,16.0
141,115,100,22,47,17,3,4.0
141,215,237,194,74,73,11,12.0
142,117,128,334,51,10,7,8.0
143,110,100,14,48,18,3,4.0
143,122,79,40,44,29,9,12.0
143,216,173,145,70,48,3,4.0
144,107,122,336,49,15,11,12.0
146,78,43,20,37,54,4,6.0
147,79,44,20,37,54,6,8.0
148,102,85,16,46,27,6,16.0
148,105,81,21,45,29,11,12.0
149,117,101,20,49,19,3,4.0
150,82,46,21,38,53,2,3.0
150,92,81,10,45,30,3,4.0
150,93,101,352,48,23,1,3.0
150,93,103,349,48,23,1,3.0
150,102,41,34,37,57,3,4.0
150,142,120,44,53,13,3,4.0
150,146,207,244,69,39,9,10.0
151,151,155,240,60,2,11,12.0
152,98,83,13,46,29,3,4.0
152,213,160,128,72,42,3,4.0
153,118,78,32,45,32,12,16.0
154,74,88,350,45,35,15,16.0
154,81,90,353,46,31,8,9.0
154,86,50,21,40,51,2,3.0
154,110,78,25,45,33,9,12.0
155,94,86,7,47,29,2,4.0
155,96,102,354,49,24,3,6.0
155,96,104,352,49,24,1,3.0
155,139,110,39,52,18,8,9.0
157,138,181,267,63,23,13,16.0
157,147,129,39,56,13,7,8.0
157,165,161,150,63,4,15,16.0
158,195,239,213,78,72,9,12.0
159,113,122,348,53,19,10,12.0
159,182,161,125,67,14,7,9.0
160,80,94,350,47,33,6,8.0
160,99,22,33,36,76,2,3.0
160,162,164,210,64,2,2,3.0
161,122,102,20,52,24,10,12.0
161,151,101,50,51,24,10,12.0
162,79,117,333,47,34,12,15.0
162,115,89,21,49,29,2,3.0
162,178,154,100,65,13,7,9.0
163,117,87,24,49,30,14,16.0
163,118,120,357,55,20,2,3.0
163,220,157,114,74,47,3,4.0
164,96,8,34,34,91,3,4.0
164,112,141,327,54,22,14,16.0
164,113,142,326,54,22,9,12.0
164,168,142,69,61,13,10,12.0
165,65,74,355,45,43,6,8.0
165,86,86,0,49,31,3,4.0
165,147,167,294,62,10,2,3.0
165,228,203,156,77,54,8,12.0
166,98,10,34,35,89,2,4.0
166,168,168,180,65,1,2,3.0
166,184,208,214,73,31,5,6.0
168,95,97,358,52,30,2,3.0
168,107,30,33,39,70,5,6.0
168,146,129,26,58,18,8,9.0
169,69,148,313,47,42,11,12.0
169,107,28,34,39,72,2,3.0
169,143,179,283,63,19,9,11.0
170,136,113,24,55,25,8,9.0
170,210,239,205,80,68,15,17.0
171,90,101,352,51,33,10,12.0
171,106,78,18,49,37,3,4.0
171,113,38,34,41,64,2,4.0
171,133,85,33,50,34,2,3.0
171,171,175,240,68,2,11,12.0
